TransactionID,AccountID,TransactionFrequency,LastTransactionDate
TRANS00542,ACC00542,Occasionally,2023-11-27
TRANS00543,ACC00543,Occasionally,2023-10-16
TRANS00544,ACC00544,Rarely,2023-10-08
TRANS00545,ACC00545,Occasionally,2023-01-22
TRANS00546,ACC00546,Occasionally,2023-09-17
TRANS00547,ACC00547,Occasionally,2023-06-21
TRANS00548,ACC00548,Rarely,2023-12-16
TRANS00549,ACC00549,Very Frequently,2023-11-08
TRANS00550,ACC00550,Occasionally,2023-10-19
TRANS00551,ACC00551,Frequently,2023-11-25
TRANS00552,ACC00552,Frequently,2023-01-28
TRANS00553,ACC00553,Occasionally,2023-08-26
TRANS00554,ACC00554,Rarely,2023-05-15
TRANS00555,ACC00555,Very Frequently,2023-07-09
TRANS00556,ACC00556,Very Frequently,2023-02-07
TRANS00557,ACC00557,Frequently,2023-09-15
TRANS00558,ACC00558,Occasionally,2023-08-05
TRANS00559,ACC00559,Very Frequently,2023-05-19
TRANS00560,ACC00560,Frequently,2023-03-13
TRANS00561,ACC00561,Rarely,2023-09-13
TRANS00562,ACC00562,Very Frequently,2023-12-18
TRANS00563,ACC00563,Very Frequently,2023-06-24
TRANS00564,ACC00564,Rarely,2023-11-28
TRANS00565,ACC00565,Rarely,2023-06-07
TRANS00566,ACC00566,Frequently,2023-05-20
TRANS00567,ACC00567,Frequently,2023-11-23
TRANS00568,ACC00568,Frequently,2023-06-05
TRANS00569,ACC00569,Very Frequently,2023-11-21
TRANS00570,ACC00570,Very Frequently,2023-11-06
TRANS00571,ACC00571,Very Frequently,2023-10-21
TRANS00572,ACC00572,Rarely,2023-10-21
TRANS00573,ACC00573,Rarely,2023-03-21
TRANS00574,ACC00574,Very Frequently,2023-05-11
TRANS00575,ACC00575,Very Frequently,2023-08-10
TRANS00576,ACC00576,Occasionally,2023-07-30
TRANS00577,ACC00577,Rarely,2023-05-09
TRANS00578,ACC00578,Rarely,2023-01-25
TRANS00579,ACC00579,Frequently,2023-06-05
TRANS00580,ACC00580,Rarely,2023-08-04
TRANS00581,ACC00581,Frequently,2023-01-07
TRANS00582,ACC00582,Frequently,2023-09-14
TRANS00583,ACC00583,Occasionally,2023-08-27
TRANS00584,ACC00584,Rarely,2023-11-24
TRANS00585,ACC00585,Frequently,2023-08-07
TRANS00586,ACC00586,Frequently,2023-01-15
TRANS00587,ACC00587,Frequently,2023-02-25
TRANS00588,ACC00588,Frequently,2023-07-07
TRANS00589,ACC00589,Frequently,2023-09-30
TRANS00590,ACC00590,Rarely,2023-04-16
TRANS00591,ACC00591,Rarely,2023-04-25
TRANS00592,ACC00592,Frequently,2023-04-03
TRANS00593,ACC00593,Very Frequently,2023-06-24
TRANS00594,ACC00594,Frequently,2023-02-28
TRANS00595,ACC00595,Rarely,2023-01-23
TRANS00596,ACC00596,Very Frequently,2023-04-24
TRANS00597,ACC00597,Rarely,2023-07-19
TRANS00598,ACC00598,Frequently,2023-02-18
TRANS00599,ACC00599,Very Frequently,2023-11-20
TRANS00600,ACC00600,Occasionally,2023-09-29
TRANS00601,ACC00601,Frequently,2023-12-12
TRANS00602,ACC00602,Very Frequently,2023-05-23
TRANS00603,ACC00603,Very Frequently,2023-06-15
TRANS00604,ACC00604,Rarely,2023-11-14
TRANS00605,ACC00605,Frequently,2023-08-13
TRANS00606,ACC00606,Very Frequently,2023-09-04
TRANS00607,ACC00607,Frequently,2023-07-01
TRANS00608,ACC00608,Occasionally,2023-05-27
TRANS00609,ACC00609,Rarely,2023-07-19
TRANS00610,ACC00610,Frequently,2023-02-25
TRANS00611,ACC00611,Frequently,2023-01-20
TRANS00612,ACC00612,Rarely,2023-07-05
TRANS00613,ACC00613,Very Frequently,2023-11-08
TRANS00614,ACC00614,Frequently,2023-02-28
TRANS00615,ACC00615,Rarely,2023-05-09
TRANS00616,ACC00616,Frequently,2023-03-20
TRANS00617,ACC00617,Very Frequently,2023-01-21
TRANS00618,ACC00618,Frequently,2023-06-25
TRANS00619,ACC00619,Very Frequently,2023-09-16
TRANS00620,ACC00620,Frequently,2023-08-28
TRANS00621,ACC00621,Occasionally,2023-07-25
TRANS00622,ACC00622,Very Frequently,2023-01-01
TRANS00623,ACC00623,Occasionally,2023-08-05
TRANS00624,ACC00624,Frequently,2023-03-21
TRANS00625,ACC00625,Frequently,2023-11-30
TRANS00626,ACC00626,Frequently,2023-07-19
TRANS00627,ACC00627,Rarely,2023-08-31
TRANS00628,ACC00628,Rarely,2023-01-22
TRANS00629,ACC00629,Occasionally,2023-02-06
TRANS00630,ACC00630,Frequently,2023-06-27
TRANS00631,ACC00631,Occasionally,2023-01-19
TRANS00632,ACC00632,Frequently,2023-01-16
TRANS00633,ACC00633,Frequently,2023-01-27
TRANS00634,ACC00634,Occasionally,2023-09-15
TRANS00635,ACC00635,Very Frequently,2023-08-06
TRANS00636,ACC00636,Rarely,2023-06-05
TRANS00637,ACC00637,Occasionally,2023-10-27
TRANS00638,ACC00638,Very Frequently,2023-11-28
TRANS00639,ACC00639,Frequently,2023-06-25
TRANS00640,ACC00640,Frequently,2023-11-02
TRANS00641,ACC00641,Frequently,2023-03-03
TRANS00642,ACC00642,Occasionally,2023-09-05
TRANS00643,ACC00643,Very Frequently,2023-03-25
TRANS00644,ACC00644,Rarely,2023-01-27
TRANS00645,ACC00645,Occasionally,2023-12-16
TRANS00646,ACC00646,Occasionally,2023-04-23
TRANS00647,ACC00647,Frequently,2023-08-01
TRANS00648,ACC00648,Rarely,2023-04-11
TRANS00649,ACC00649,Frequently,2023-07-30
TRANS00650,ACC00650,Rarely,2023-05-06
TRANS00651,ACC00651,Rarely,2023-04-28
TRANS00652,ACC00652,Frequently,2023-06-30
TRANS00653,ACC00653,Very Frequently,2023-07-30
TRANS00654,ACC00654,Rarely,2023-10-28
TRANS00655,ACC00655,Frequently,2023-07-27
TRANS00656,ACC00656,Rarely,2023-11-21
TRANS00657,ACC00657,Frequently,2023-10-24
TRANS00658,ACC00658,Frequently,2023-04-09
TRANS00659,ACC00659,Frequently,2023-04-28
TRANS00660,ACC00660,Very Frequently,2023-07-07
TRANS00661,ACC00661,Occasionally,2023-02-14
TRANS00662,ACC00662,Very Frequently,2023-02-27
TRANS00663,ACC00663,Frequently,2023-11-18
TRANS00664,ACC00664,Rarely,2023-03-09
TRANS00665,ACC00665,Very Frequently,2023-01-04
TRANS00666,ACC00666,Frequently,2023-04-04
TRANS00667,ACC00667,Frequently,2023-01-30
TRANS00668,ACC00668,Very Frequently,2023-12-22
TRANS00669,ACC00669,Very Frequently,2023-07-18
TRANS00670,ACC00670,Rarely,2023-01-16
TRANS00671,ACC00671,Occasionally,2023-07-28
TRANS00672,ACC00672,Occasionally,2023-01-16
TRANS00673,ACC00673,Very Frequently,2023-12-21
TRANS00674,ACC00674,Frequently,2023-01-31
TRANS00675,ACC00675,Frequently,2023-11-10
TRANS00676,ACC00676,Occasionally,2023-02-11
TRANS00677,ACC00677,Frequently,2023-06-19
TRANS00678,ACC00678,Occasionally,2023-11-15
TRANS00679,ACC00679,Very Frequently,2023-01-26
TRANS00680,ACC00680,Very Frequently,2023-10-08
TRANS00681,ACC00681,Rarely,2023-09-29
TRANS00682,ACC00682,Very Frequently,2023-02-20
TRANS00683,ACC00683,Very Frequently,2023-04-05
TRANS00684,ACC00684,Occasionally,2023-12-22
TRANS00685,ACC00685,Rarely,2023-02-16
TRANS00686,ACC00686,Very Frequently,2023-06-02
TRANS00687,ACC00687,Frequently,2023-02-06
TRANS00688,ACC00688,Occasionally,2023-03-02
TRANS00689,ACC00689,Very Frequently,2023-08-25
TRANS00690,ACC00690,Very Frequently,2023-08-23
TRANS00691,ACC00691,Frequently,2023-02-11
TRANS00692,ACC00692,Frequently,2023-12-22
TRANS00693,ACC00693,Rarely,2023-03-01
TRANS00694,ACC00694,Frequently,2023-09-24
TRANS00695,ACC00695,Rarely,2023-09-06
TRANS00696,ACC00696,Occasionally,2023-10-27
TRANS00697,ACC00697,Very Frequently,2023-08-22
TRANS00698,ACC00698,Frequently,2023-12-03
TRANS00699,ACC00699,Very Frequently,2023-01-17
TRANS00700,ACC00700,Rarely,2023-12-14
TRANS00701,ACC00701,Rarely,2023-05-27
TRANS00702,ACC00702,Very Frequently,2023-04-03
TRANS00703,ACC00703,Very Frequently,2023-05-22
TRANS00704,ACC00704,Frequently,2023-08-04
TRANS00705,ACC00705,Very Frequently,2023-01-07
TRANS00706,ACC00706,Rarely,2023-11-28
TRANS00707,ACC00707,Frequently,2023-07-28
TRANS00708,ACC00708,Frequently,2023-11-19
TRANS00709,ACC00709,Frequently,2023-02-21
TRANS00710,ACC00710,Frequently,2023-08-03
TRANS00711,ACC00711,Very Frequently,2023-03-11
TRANS00712,ACC00712,Occasionally,2023-09-22
TRANS00713,ACC00713,Occasionally,2023-09-02
TRANS00714,ACC00714,Occasionally,2023-10-10
TRANS00715,ACC00715,Very Frequently,2023-04-22
TRANS00716,ACC00716,Frequently,2023-12-17
TRANS00717,ACC00717,Very Frequently,2023-05-30
TRANS00718,ACC00718,Occasionally,2023-11-28
TRANS00719,ACC00719,Very Frequently,2023-08-05
TRANS00720,ACC00720,Very Frequently,2023-11-02
TRANS00721,ACC00721,Occasionally,2023-10-03
TRANS00722,ACC00722,Occasionally,2023-10-21
TRANS00723,ACC00723,Occasionally,2023-05-02
TRANS00724,ACC00724,Rarely,2023-10-16
TRANS00725,ACC00725,Occasionally,2023-10-21
TRANS00726,ACC00726,Occasionally,2023-06-08
TRANS00727,ACC00727,Frequently,2023-01-20
TRANS00728,ACC00728,Very Frequently,2023-07-23
TRANS00729,ACC00729,Rarely,2023-03-04
TRANS00730,ACC00730,Frequently,2023-04-09
TRANS00731,ACC00731,Rarely,2023-04-12
TRANS00732,ACC00732,Occasionally,2023-06-24
TRANS00733,ACC00733,Very Frequently,2023-09-05
TRANS00734,ACC00734,Frequently,2023-08-22
TRANS00735,ACC00735,Frequently,2023-08-21
TRANS00736,ACC00736,Occasionally,2023-05-15
TRANS00737,ACC00737,Frequently,2023-08-14
TRANS00738,ACC00738,Occasionally,2023-07-17
TRANS00739,ACC00739,Rarely,2023-10-05
TRANS00740,ACC00740,Occasionally,2023-07-20
TRANS00741,ACC00741,Very Frequently,2023-05-20
TRANS00742,ACC00742,Frequently,2023-09-09
TRANS00743,ACC00743,Rarely,2023-12-10
TRANS00744,ACC00744,Occasionally,2023-02-14
TRANS00745,ACC00745,Rarely,2023-03-03
TRANS00746,ACC00746,Rarely,2023-07-02
TRANS00747,ACC00747,Very Frequently,2023-07-11
TRANS00748,ACC00748,Occasionally,2023-04-21
TRANS00749,ACC00749,Occasionally,2023-02-26
TRANS00750,ACC00750,Very Frequently,2023-11-15
TRANS00751,ACC00751,Frequently,2023-01-11
TRANS00752,ACC00752,Rarely,2023-05-15
TRANS00753,ACC00753,Occasionally,2023-01-13
TRANS00754,ACC00754,Occasionally,2023-08-06
TRANS00755,ACC00755,Frequently,2023-12-10
TRANS00756,ACC00756,Occasionally,2023-12-11
TRANS00757,ACC00757,Rarely,2023-10-18
TRANS00758,ACC00758,Very Frequently,2023-04-22
TRANS00759,ACC00759,Rarely,2023-04-03
TRANS00760,ACC00760,Frequently,2023-01-03
TRANS00761,ACC00761,Frequently,2023-06-17
TRANS00762,ACC00762,Frequently,2023-12-23
TRANS00763,ACC00763,Rarely,2023-03-22
TRANS00764,ACC00764,Occasionally,2023-11-29
TRANS00765,ACC00765,Frequently,2023-12-05
TRANS00766,ACC00766,Frequently,2023-03-12
TRANS00767,ACC00767,Rarely,2023-07-06
TRANS00768,ACC00768,Very Frequently,2023-07-27
TRANS00769,ACC00769,Very Frequently,2023-07-26
TRANS00770,ACC00770,Occasionally,2023-03-26
TRANS00771,ACC00771,Occasionally,2023-09-22
TRANS00772,ACC00772,Rarely,2023-05-14
TRANS00773,ACC00773,Occasionally,2023-04-12
TRANS00774,ACC00774,Rarely,2023-07-11
TRANS00775,ACC00775,Very Frequently,2023-04-14
TRANS00776,ACC00776,Rarely,2023-12-17
TRANS00777,ACC00777,Very Frequently,2023-05-04
TRANS00778,ACC00778,Very Frequently,2023-01-08
TRANS00779,ACC00779,Occasionally,2023-02-21
TRANS00780,ACC00780,Frequently,2023-05-10
TRANS00781,ACC00781,Rarely,2023-04-28
TRANS00782,ACC00782,Very Frequently,2023-02-07
TRANS00783,ACC00783,Frequently,2023-08-28
TRANS00784,ACC00784,Rarely,2023-05-05
TRANS00785,ACC00785,Rarely,2023-06-12
TRANS00786,ACC00786,Frequently,2023-01-21
TRANS00787,ACC00787,Occasionally,2023-07-16
TRANS00788,ACC00788,Rarely,2023-11-19
TRANS00789,ACC00789,Rarely,2023-07-04
TRANS00790,ACC00790,Frequently,2024-01-01
TRANS00791,ACC00791,Occasionally,2023-12-29
TRANS00792,ACC00792,Occasionally,2023-08-19
TRANS00793,ACC00793,Very Frequently,2023-09-26
TRANS00794,ACC00794,Rarely,2023-09-26
TRANS00795,ACC00795,Very Frequently,2023-03-31
TRANS00796,ACC00796,Occasionally,2023-10-31
TRANS00797,ACC00797,Occasionally,2023-10-14
TRANS00798,ACC00798,Very Frequently,2023-09-06
TRANS00799,ACC00799,Frequently,2023-03-27
TRANS00800,ACC00800,Rarely,2023-05-06
TRANS00801,ACC00801,Rarely,2023-08-20
TRANS00802,ACC00802,Rarely,2023-01-19
TRANS00803,ACC00803,Frequently,2023-01-22
TRANS00804,ACC00804,Very Frequently,2023-10-20
TRANS00805,ACC00805,Frequently,2023-09-16
TRANS00806,ACC00806,Frequently,2023-06-18
TRANS00807,ACC00807,Frequently,2023-07-19
TRANS00808,ACC00808,Rarely,2023-09-16
TRANS00809,ACC00809,Frequently,2023-12-11
TRANS00810,ACC00810,Rarely,2023-05-20
TRANS00811,ACC00811,Occasionally,2023-01-16
TRANS00812,ACC00812,Occasionally,2023-04-30
TRANS00813,ACC00813,Frequently,2023-03-26
TRANS00814,ACC00814,Occasionally,2023-04-04
TRANS00815,ACC00815,Frequently,2023-11-12
TRANS00816,ACC00816,Frequently,2023-04-13
TRANS00817,ACC00817,Frequently,2023-05-12
TRANS00818,ACC00818,Occasionally,2023-01-05
TRANS00819,ACC00819,Rarely,2023-09-17
TRANS00820,ACC00820,Rarely,2023-09-10
TRANS00821,ACC00821,Very Frequently,2023-10-05
TRANS00822,ACC00822,Occasionally,2023-12-31
TRANS00823,ACC00823,Rarely,2023-09-11
TRANS00824,ACC00824,Occasionally,2023-02-17
TRANS00825,ACC00825,Occasionally,2023-01-27
TRANS00826,ACC00826,Occasionally,2023-08-29
TRANS00827,ACC00827,Occasionally,2023-10-04
TRANS00828,ACC00828,Very Frequently,2023-02-01
TRANS00829,ACC00829,Very Frequently,2023-06-24
TRANS00830,ACC00830,Occasionally,2023-10-12
TRANS00831,ACC00831,Occasionally,2023-06-13
TRANS00832,ACC00832,Frequently,2023-07-24
TRANS00833,ACC00833,Very Frequently,2023-11-13
TRANS00834,ACC00834,Frequently,2023-08-28
TRANS00835,ACC00835,Frequently,2023-08-08
TRANS00836,ACC00836,Very Frequently,2023-09-06
TRANS00837,ACC00837,Very Frequently,2023-07-01
TRANS00838,ACC00838,Frequently,2023-12-31
TRANS00839,ACC00839,Rarely,2023-06-03
TRANS00840,ACC00840,Occasionally,2023-09-25
TRANS00841,ACC00841,Very Frequently,2023-05-06
TRANS00842,ACC00842,Rarely,2023-01-27
TRANS00843,ACC00843,Very Frequently,2023-08-16
TRANS00844,ACC00844,Frequently,2023-11-02
TRANS00845,ACC00845,Very Frequently,2023-09-19
TRANS00846,ACC00846,Very Frequently,2023-12-29
TRANS00847,ACC00847,Very Frequently,2023-01-17
TRANS00848,ACC00848,Rarely,2023-10-11
TRANS00849,ACC00849,Very Frequently,2023-04-08
TRANS00850,ACC00850,Frequently,2023-09-16
TRANS00851,ACC00851,Very Frequently,2023-06-22
TRANS00852,ACC00852,Occasionally,2023-12-11
TRANS00853,ACC00853,Occasionally,2023-11-10
TRANS00854,ACC00854,Frequently,2023-07-27
TRANS00855,ACC00855,Rarely,2023-12-22
TRANS00856,ACC00856,Frequently,2023-10-16
TRANS00857,ACC00857,Frequently,2023-10-14
TRANS00858,ACC00858,Frequently,2023-02-23
TRANS00859,ACC00859,Frequently,2023-05-11
TRANS00860,ACC00860,Frequently,2023-12-18
TRANS00861,ACC00861,Rarely,2023-09-27
TRANS00862,ACC00862,Occasionally,2023-12-23
TRANS00863,ACC00863,Occasionally,2023-10-30
TRANS00864,ACC00864,Very Frequently,2023-08-15
TRANS00865,ACC00865,Occasionally,2023-03-22
TRANS00866,ACC00866,Rarely,2023-09-16
TRANS00867,ACC00867,Frequently,2023-09-30
TRANS00868,ACC00868,Very Frequently,2023-07-07
TRANS00869,ACC00869,Frequently,2023-01-21
TRANS00870,ACC00870,Very Frequently,2023-11-16
TRANS00871,ACC00871,Frequently,2023-04-26
TRANS00872,ACC00872,Rarely,2023-10-21
TRANS00873,ACC00873,Very Frequently,2023-10-06
TRANS00874,ACC00874,Very Frequently,2023-01-12
TRANS00875,ACC00875,Very Frequently,2023-04-30
TRANS00876,ACC00876,Frequently,2023-09-19
TRANS00877,ACC00877,Frequently,2023-08-10
TRANS00878,ACC00878,Occasionally,2023-11-12
TRANS00879,ACC00879,Rarely,2023-08-13
TRANS00880,ACC00880,Rarely,2023-09-27
TRANS00881,ACC00881,Occasionally,2023-12-09
TRANS00882,ACC00882,Frequently,2023-06-04
TRANS00883,ACC00883,Rarely,2023-11-24
TRANS00884,ACC00884,Rarely,2023-09-12
TRANS00885,ACC00885,Very Frequently,2023-02-16
TRANS00886,ACC00886,Very Frequently,2023-10-18
TRANS00887,ACC00887,Rarely,2023-01-18
TRANS00888,ACC00888,Occasionally,2023-04-26
TRANS00889,ACC00889,Frequently,2023-07-17
TRANS00890,ACC00890,Frequently,2023-07-29
TRANS00891,ACC00891,Rarely,2023-06-25
TRANS00892,ACC00892,Very Frequently,2023-06-28
TRANS00893,ACC00893,Rarely,2023-07-01
TRANS00894,ACC00894,Frequently,2023-03-20
TRANS00895,ACC00895,Very Frequently,2023-01-22
TRANS00896,ACC00896,Very Frequently,2023-11-03
TRANS00897,ACC00897,Frequently,2023-05-20
TRANS00898,ACC00898,Very Frequently,2023-05-10
TRANS00899,ACC00899,Frequently,2023-12-04
TRANS00900,ACC00900,Rarely,2023-06-15
TRANS00901,ACC00901,Rarely,2023-07-12
TRANS00902,ACC00902,Very Frequently,2023-01-31
TRANS00903,ACC00903,Very Frequently,2023-02-19
TRANS00904,ACC00904,Rarely,2023-03-15
TRANS00905,ACC00905,Occasionally,2023-07-10
TRANS00906,ACC00906,Rarely,2023-09-01
TRANS00907,ACC00907,Frequently,2023-01-08
TRANS00908,ACC00908,Frequently,2023-06-09
TRANS00909,ACC00909,Very Frequently,2023-11-23
TRANS00910,ACC00910,Rarely,2023-01-22
TRANS00911,ACC00911,Rarely,2023-07-30
TRANS00912,ACC00912,Frequently,2023-04-24
TRANS00913,ACC00913,Frequently,2023-09-27
TRANS00914,ACC00914,Rarely,2023-07-07
TRANS00915,ACC00915,Very Frequently,2023-06-06
TRANS00916,ACC00916,Very Frequently,2023-01-10
TRANS00917,ACC00917,Very Frequently,2023-12-08
TRANS00918,ACC00918,Occasionally,2023-08-09
TRANS00919,ACC00919,Rarely,2023-12-10
TRANS00920,ACC00920,Very Frequently,2023-11-06
TRANS00921,ACC00921,Frequently,2023-05-17
TRANS00922,ACC00922,Occasionally,2023-10-08
TRANS00923,ACC00923,Frequently,2023-08-04
TRANS00924,ACC00924,Frequently,2023-12-13
TRANS00925,ACC00925,Very Frequently,2023-07-12
TRANS00926,ACC00926,Rarely,2023-07-19
TRANS00927,ACC00927,Occasionally,2023-03-29
TRANS00928,ACC00928,Frequently,2023-02-14
TRANS00929,ACC00929,Rarely,2023-04-19
TRANS00930,ACC00930,Frequently,2023-08-20
TRANS00931,ACC00931,Frequently,2023-11-01
TRANS00932,ACC00932,Frequently,2023-06-23
TRANS00933,ACC00933,Very Frequently,2023-10-17
TRANS00934,ACC00934,Frequently,2023-12-12
TRANS00935,ACC00935,Very Frequently,2023-08-19
TRANS00936,ACC00936,Occasionally,2023-02-22
TRANS00937,ACC00937,Rarely,2023-05-20
TRANS00938,ACC00938,Very Frequently,2023-01-05
TRANS00939,ACC00939,Occasionally,2023-05-11
TRANS00940,ACC00940,Frequently,2023-06-20
TRANS00941,ACC00941,Very Frequently,2023-04-18
TRANS00942,ACC00942,Very Frequently,2023-11-22
TRANS00943,ACC00943,Rarely,2023-07-15
TRANS00944,ACC00944,Frequently,2023-05-22
TRANS00945,ACC00945,Very Frequently,2023-03-26
TRANS00946,ACC00946,Occasionally,2023-11-09
TRANS00947,ACC00947,Occasionally,2023-06-22
TRANS00948,ACC00948,Occasionally,2023-02-01
TRANS00949,ACC00949,Very Frequently,2023-03-15
TRANS00950,ACC00950,Frequently,2023-10-13
TRANS00951,ACC00951,Rarely,2023-02-25
TRANS00952,ACC00952,Rarely,2023-09-21
TRANS00953,ACC00953,Rarely,2023-11-17
TRANS00954,ACC00954,Occasionally,2023-12-29
TRANS00955,ACC00955,Very Frequently,2023-09-11
TRANS00956,ACC00956,Rarely,2023-10-02
TRANS00957,ACC00957,Rarely,2023-11-12
TRANS00958,ACC00958,Rarely,2023-02-21
TRANS00959,ACC00959,Rarely,2023-09-21
TRANS00960,ACC00960,Occasionally,2023-07-18
TRANS00961,ACC00961,Very Frequently,2023-05-15
TRANS00962,ACC00962,Very Frequently,2024-01-01
TRANS00963,ACC00963,Very Frequently,2023-11-27
TRANS00964,ACC00964,Very Frequently,2023-07-11
TRANS00965,ACC00965,Rarely,2023-03-30
TRANS00966,ACC00966,Occasionally,2023-05-24
TRANS00967,ACC00967,Occasionally,2023-03-12
TRANS00968,ACC00968,Frequently,2023-12-18
TRANS00969,ACC00969,Occasionally,2023-09-04
TRANS00970,ACC00970,Frequently,2023-07-09
TRANS00971,ACC00971,Frequently,2023-10-31
TRANS00972,ACC00972,Rarely,2023-12-28
TRANS00973,ACC00973,Frequently,2023-06-01
TRANS00974,ACC00974,Rarely,2023-04-20
TRANS00975,ACC00975,Rarely,2023-06-27
TRANS00976,ACC00976,Frequently,2023-02-19
TRANS00977,ACC00977,Frequently,2023-05-31
TRANS00978,ACC00978,Occasionally,2023-10-02
TRANS00979,ACC00979,Rarely,2023-03-18
TRANS00980,ACC00980,Rarely,2023-08-08
TRANS00981,ACC00981,Frequently,2023-02-19
TRANS00982,ACC00982,Occasionally,2023-06-11
TRANS00983,ACC00983,Rarely,2023-12-16
TRANS00984,ACC00984,Frequently,2023-11-25
TRANS00985,ACC00985,Rarely,2023-03-23
TRANS00986,ACC00986,Rarely,2023-11-04
TRANS00987,ACC00987,Rarely,2023-03-29
TRANS00988,ACC00988,Very Frequently,2023-07-13
TRANS00989,ACC00989,Rarely,2023-11-22
TRANS00990,ACC00990,Frequently,2023-12-14
TRANS00991,ACC00991,Rarely,2023-11-24
TRANS00992,ACC00992,Occasionally,2023-10-27
TRANS00993,ACC00993,Frequently,2023-02-18
TRANS00994,ACC00994,Very Frequently,2023-06-23
TRANS00995,ACC00995,Occasionally,2023-09-24
TRANS00996,ACC00996,Very Frequently,2023-07-04
TRANS00997,ACC00997,Occasionally,2023-05-26
TRANS00998,ACC00998,Very Frequently,2023-05-26
TRANS00999,ACC00999,Rarely,2023-05-10
TRANS01000,ACC01000,Rarely,2023-02-25
TRANS00062,ACC00062,Occasionally,2023-05-13
TRANS00214,ACC00214,Frequently,2023-03-11
TRANS00100,ACC00100,Occasionally,2023-05-19
TRANS00156,ACC00156,Frequently,2023-03-24
TRANS00487,ACC00487,Very Frequently,2023-08-28
TRANS00182,ACC00182,Rarely,2023-08-01
TRANS00584,ACC00584,Rarely,2023-11-24
TRANS00683,ACC00683,Very Frequently,2023-04-05
TRANS00552,ACC00552,Frequently,2023-01-28
TRANS00895,ACC00895,Very Frequently,2023-01-22
